i	Best	Average	Worst	Best SD	Average SD	Worst SD	
58000	-391,661657037530200	-391,661657032470150	-391,661656965514500	0,000000000106602	0,000000000673364	0,000000027646253	
59000	-391,661657037530100	-391,661657032670200	-391,661656968680630	0,000000000106593	0,000000000664518	0,000000028123433	
60000	-391,661657037538930	-391,661657032905450	-391,661656971434870	0,000000000095559	0,000000000631615	0,000000028300712	
61000	-391,661657037553500	-391,661657033043500	-391,661656972729000	0,000000000078440	0,000000000619022	0,000000027897028	
62000	-391,661657037556950	-391,661657033148100	-391,661656975030000	0,000000000082595	0,000000000609212	0,000000027827116	
63000	-391,661657037558030	-391,661657033292200	-391,661656975473400	0,000000000082032	0,000000000607162	0,000000027659366	
64000	-391,661657037559900	-391,661657033460530	-391,661656976890800	0,000000000082566	0,000000000645993	0,000000026190937	
65000	-391,661657037562800	-391,661657033641860	-391,661656980879200	0,000000000083443	0,000000000614441	0,000000023026348	
66000	-391,661657037562800	-391,661657033761600	-391,661656981361900	0,000000000083439	0,000000000610683	0,000000023031412	
67000	-391,661657037562800	-391,661657033946260	-391,661656984105600	0,000000000083447	0,000000000556955	0,000000018458257	
68000	-391,661657037566670	-391,661657034067000	-391,661656985415900	0,000000000081517	0,000000000489535	0,000000018108925	
69000	-391,661657037570000	-391,661657034158200	-391,661656989211340	0,000000000080046	0,000000000483100	0,000000013810451	
70000	-391,661657037571900	-391,661657034225200	-391,661656989513740	0,000000000081117	0,000000000483307	0,000000014058187	
71000	-391,661657037580800	-391,661657034350360	-391,661656990501170	0,000000000077954	0,000000000495479	0,000000014239926	
72000	-391,661657037580800	-391,661657034467100	-391,661656992325700	0,000000000077942	0,000000000500931	0,000000015020113	
73000	-391,661657037582900	-391,661657034595800	-391,661656992325700	0,000000000078554	0,000000000503403	0,000000015020119	
74000	-391,661657037593400	-391,661657034669600	-391,661656993880600	0,000000000071815	0,000000000526589	0,000000015214718	
75000	-391,661657037600550	-391,661657034732100	-391,661656994485670	0,000000000070697	0,000000000500936	0,000000015260881	
76000	-391,661657037601860	-391,661657034838470	-391,661656995481900	0,000000000071186	0,000000000491729	0,000000014426131	
77000	-391,661657037603850	-391,661657034909870	-391,661656997532500	0,000000000071528	0,000000000491611	0,000000014657415	
78000	-391,661657037603850	-391,661657034959660	-391,661656997874960	0,000000000071526	0,000000000478640	0,000000014999917	
79000	-391,661657037611100	-391,661657035046350	-391,661656999453160	0,000000000071054	0,000000000474030	0,000000014998913	
80000	-391,661657037611100	-391,661657035112850	-391,661657000310000	0,000000000071058	0,000000000447614	0,000000014557928	
81000	-391,661657037611100	-391,661657035177370	-391,661657001757200	0,000000000071055	0,000000000441610	0,000000012725532	
82000	-391,661657037624500	-391,661657035264700	-391,661657003314600	0,000000000061010	0,000000000396512	0,000000011908227	
83000	-391,661657037638100	-391,661657035341900	-391,661657003952500	0,000000000048527	0,000000000395705	0,000000011738947	
84000	-391,661657037638200	-391,661657035395500	-391,661657004653700	0,000000000048536	0,000000000379341	0,000000011846938	
85000	-391,661657037641930	-391,661657035454370	-391,661657005287500	0,000000000046316	0,000000000357792	0,000000011380829	
86000	-391,661657037641930	-391,661657035507900	-391,661657005805100	0,000000000046307	0,000000000315762	0,000000009989197	
87000	-391,661657037646600	-391,661657035590300	-391,661657006309400	0,000000000040588	0,000000000302848	0,000000010079739	
88000	-391,661657037649600	-391,661657035643400	-391,661657006739400	0,000000000040139	0,000000000303743	0,000000010461805	
89000	-391,661657037649600	-391,661657035685600	-391,661657007936400	0,000000000040137	0,000000000296341	0,000000011208680	
90000	-391,661657037649500	-391,661657035719940	-391,661657007936600	0,000000000040129	0,000000000286624	0,000000011208830	
91000	-391,661657037649500	-391,661657035797900	-391,661657009415500	0,000000000040116	0,000000000276483	0,000000011881166	
92000	-391,661657037650850	-391,661657035847950	-391,661657010549100	0,000000000040546	0,000000000246769	0,000000012187487	
93000	-391,661657037650800	-391,661657035881430	-391,661657010725660	0,000000000040533	0,000000000231526	0,000000012285717	
94000	-391,661657037650800	-391,661657035928950	-391,661657011396760	0,000000000040537	0,000000000242287	0,000000011225273	
95000	-391,661657037650850	-391,661657035974100	-391,661657011997760	0,000000000040534	0,000000000240663	0,000000010589056	
96000	-391,661657037655600	-391,661657036021150	-391,661657012374100	0,000000000035255	0,000000000238931	0,000000010646754	
97000	-391,661657037659040	-391,661657036051960	-391,661657012609900	0,000000000032654	0,000000000241840	0,000000010638683	
98000	-391,661657037661770	-391,661657036082200	-391,661657013158200	0,000000000033883	0,000000000248770	0,000000010750623	
99000	-391,661657037661770	-391,661657036103240	-391,661657013264350	0,000000000033879	0,000000000241289	0,000000010802365	
100000	-391,661657037661770	-391,661657036128130	-391,661657013728100	0,000000000033873	0,000000000241596	0,000000010900022	
Results:
[-2.903534477009096, -2.903534877674254, -2.9035333791180236, -2.903533676202649, -2.9035339809852374, -2.9035349029582065, -2.9035350986014308, -2.903533909498954, -2.9035341350754678, -2.9035336898377935]
[-2.9035333232313514, -2.90353488628167, -2.903532786847756, -2.90353373647664, -2.9035330715123218, -2.9035331762279037, -2.903533712815226, -2.90353506407697, -2.9035347993194245, -2.903534892102436]
[-2.903533552706114, -2.903535388481152, -2.9035340011961415, -2.903533915980126, -2.9035342058488203, -2.9035343656434014, -2.903534098273787, -2.9035345055364195, -2.9035330051793897, -2.903533859864303]
[-2.9035344202347755, -2.9035342535498625, -2.9035342245260676, -2.9035344656804067, -2.9035340315822236, -2.903534357843439, -2.9035340635527813, -2.9035343189097897, -2.9035343936702542, -2.9035346277232588]
[-2.9035339889806, -2.9035339033825966, -2.9035340303025823, -2.9035339832435074, -2.9035339541351295, -2.9035339325773766, -2.9035339725933245, -2.903533526158755, -2.903534253071486, -2.9035341152402925]
[-2.9035333786278166, -2.903534376164334, -2.903534389690339, -2.9035346568853306, -2.9035357680331977, -2.9035348940160652, -2.9035341052149484, -2.9035337124369285, -2.903534003628028, -2.903533542259556]
[-2.9035340117989143, -2.9035344768381073, -2.9035341487269797, -2.9035340876671434, -2.903533603565851, -2.9035346274849907, -2.9035347558910907, -2.9035334754735267, -2.903533730109306, -2.9035340974223836]
[-2.9035339270194545, -2.903534757264426, -2.903533105475619, -2.9035338418025294, -2.903533970092214, -2.9035339830152243, -2.9035337056257067, -2.903534080192914, -2.9035339009133185, -2.903534276731081]
[-2.903534792087142, -2.9035345837009876, -2.9035343377299645, -2.903534016390025, -2.9035333726078383, -2.9035335082025844, -2.903533422404492, -2.903533275274625, -2.903534043257408, -2.903532837563019]
[-2.903533042289158, -2.903533782067828, -2.9035346061136837, -2.9035347706303614, -2.903533752975594, -2.903534172492758, -2.9035349282276033, -2.9035348466350146, -2.9035335224980403, -2.9035343732509804]
[-2.903534922617837, -2.9035340837581316, -2.9035335790540557, -2.9035347403696505, -2.903533471064293, -2.9035339848924195, -2.9035338199755643, -2.903534597120597, -2.9035342569695786, -2.903534322147607]
[-2.9035339383299292, -2.9035340567534154, -2.9035341340204472, -2.9035340451810048, -2.9035346881319133, -2.90353375421546, -2.903533602118842, -2.903533738226543, -2.90353367417265, -2.9035340426089538]
[-2.9035338967805684, -2.9035341283742993, -2.903534498662334, -2.9035336434317243, -2.903533888456873, -2.9035336099186635, -2.9035341428825587, -2.903534302618932, -2.903534130338808, -2.9035342208953763]
[-2.903534041859529, -2.903533730284834, -2.9035341183298433, -2.903534577588288, -2.90353445909568, -2.9035346341224786, -2.9035333678039015, -2.903533393648103, -2.9035338441899503, -2.90353423869601]
[-2.9035338722751494, -2.903533571618029, -2.903533819102451, -2.903533484408401, -2.903533464821523, -2.903533769014759, -2.9035339859256073, -2.9035330381302646, -2.903533962657095, -2.9035342868446623]
[-2.9035328138525083, -2.903532936263219, -2.903534380777274, -2.9035331699669777, -2.903533529024572, -2.903533701577545, -2.903534361244966, -2.9035353737745035, -2.9035335404914813, -2.903533558011987]
[-2.903534394669351, -2.9035341785584032, -2.903533701575726, -2.903533980898829, -2.9035341262238044, -2.903533748953124, -2.9035337137293036, -2.903534361533276, -2.903533939161208, -2.903533818048346]
[-2.9035340657210327, -2.903533358788991, -2.9035344394578715, -2.9035335962689715, -2.9035344779522347, -2.9035346702485185, -2.903534110962937, -2.903534694215523, -2.9035352397959286, -2.9035333039646503]
[-2.903534050772568, -2.903533401069571, -2.9035340807058576, -2.903534246448534, -2.9035337759851148, -2.9035339966321674, -2.903534836656026, -2.9035333644314862, -2.903534329525418, -2.903534069107981]
[-2.903534513591694, -2.903533319107737, -2.9035346586788364, -2.9035345283773495, -2.903534687055071, -2.9035348086536032, -2.9035334655982297, -2.903534925821077, -2.9035344799740415, -2.9035340981572517]
[-2.903535692952587, -2.9035336827364655, -2.903535532670517, -2.903534260251049, -2.9035340988193776, -2.9035345705851934, -2.9035341392009424, -2.903534466655415, -2.9035330487968305, -2.903533161690589]
[-2.9035343581408615, -2.9035339904048687, -2.903533719972076, -2.903534315873914, -2.90353344162577, -2.903533855889693, -2.9035339294277964, -2.903533318400152, -2.903533548148518, -2.9035336816441504]
[-2.9035344297149024, -2.903534240889705, -2.9035339489782857, -2.903534391298301, -2.9035350812371163, -2.903534025743049, -2.903533854117761, -2.9035340203113194, -2.9035350061492338, -2.903534634533564]
[-2.9035340650389254, -2.9035335268345217, -2.9035335902008366, -2.903533670818447, -2.903534546270762, -2.9035351128059257, -2.9035343976666037, -2.903534256998696, -2.9035341573853795, -2.90353464449619]
[-2.903534007731677, -2.903534221848558, -2.9035340752598398, -2.9035341692361083, -2.903536048594132, -2.9035341242052066, -2.903534216326106, -2.9035340208866085, -2.9035342056086204, -2.9035340916307444]
[-2.9035335521184606, -2.903534243843751, -2.9035353082217625, -2.903533895369037, -2.9035337507666554, -2.9035346334421774, -2.90353409088857, -2.903534640354337, -2.903533476201119, -2.903533074466395]
[-2.903534419116113, -2.9035332737548742, -2.9035340515401913, -2.9035345031588804, -2.903534932711409, -2.903534309778479, -2.9035342593924724, -2.9035345237007277, -2.903534146011225, -2.903534108590975]
[-2.903534907323767, -2.9035336448578093, -2.9035340583068248, -2.9035328812315058, -2.903532197844463, -2.9035340556292724, -2.903534864220994, -2.9035337995155643, -2.903534622309955, -2.9035342918359603]
[-2.90353411476645, -2.903534194607352, -2.9035339085730874, -2.9035344370549927, -2.9035335051194187, -2.903533925767994, -2.90353435753969, -2.903534964534635, -2.9035340072769094, -2.9035336629313013]
[-2.9035336557753846, -2.9035343600989956, -2.9035335974367564, -2.9035335049084035, -2.9035333900974303, -2.903533622054959, -2.9035341430935597, -2.9035335860899005, -2.903534602770372, -2.9035343297437004]
